,unique-id,social-graph,home-timeline,media,compose-post,user,text,url-shorten,user-mention,user-timeline,nginx,post-storage,service-user-cpu_util,service-user-mem_util,service-user-netio_read,service-user-netio_write,service-user-blkio_read,service-user-blkio_write,service-post-storage-cpu_util,service-post-storage-mem_util,service-post-storage-netio_read,service-post-storage-netio_write,service-post-storage-blkio_read,service-post-storage-blkio_write,service-nginx-cpu_util,service-nginx-mem_util,service-nginx-netio_read,service-nginx-netio_write,service-nginx-blkio_read,service-nginx-blkio_write,service-media-cpu_util,service-media-mem_util,service-media-netio_read,service-media-netio_write,service-media-blkio_read,service-media-blkio_write,service-compose-post-cpu_util,service-compose-post-mem_util,service-compose-post-netio_read,service-compose-post-netio_write,service-compose-post-blkio_read,service-compose-post-blkio_write,service-unique-id-cpu_util,service-unique-id-mem_util,service-unique-id-netio_read,service-unique-id-netio_write,service-unique-id-blkio_read,service-unique-id-blkio_write,service-url-shorten-cpu_util,service-url-shorten-mem_util,service-url-shorten-netio_read,service-url-shorten-netio_write,service-url-shorten-blkio_read,service-url-shorten-blkio_write,service-user-timeline-cpu_util,service-user-timeline-mem_util,service-user-timeline-netio_read,service-user-timeline-netio_write,service-user-timeline-blkio_read,service-user-timeline-blkio_write,service-home-timeline-cpu_util,service-home-timeline-mem_util,service-home-timeline-netio_read,service-home-timeline-netio_write,service-home-timeline-blkio_read,service-home-timeline-blkio_write,service-text-cpu_util,service-text-mem_util,service-text-netio_read,service-text-netio_write,service-text-blkio_read,service-text-blkio_write,service-user-mention-cpu_util,service-user-mention-mem_util,service-user-mention-netio_read,service-user-mention-netio_write,service-user-mention-blkio_read,service-user-mention-blkio_write,service-social-graph-cpu_util,service-social-graph-mem_util,service-social-graph-netio_read,service-social-graph-netio_write,service-social-graph-blkio_read,service-social-graph-blkio_write
0,21,1583,2320,13,10653,10,4360,1600,1925,1714,15553,964,0.7,1.3,63900000.0,37150000.0,0.0,0.0,0.8999999999999999,2.2699999999999996,126228400.0,80540000.0,0.0,0.0,0.31,0.49,49800000.0,61700000.0,0.0,0.0,0.51,1.5,14585100.0,9850000.0,0.0,0.0,1.01,0.05,120000000.0,171000000.0,0.0,0.0,0.08,0.04,12300000.0,7330000.0,0.0,0.0,1.12,2.29,66028700.0,67460000.0,0.0,0.0,1.17,1.4600000000000002,98870000.0,94400000.0,0.0,0.0,0.26,0.11,20920000.0,22612000.0,0.0,0.0,0.61,0.02,64200000.0,81900000.0,0.0,0.0,0.34,0.03,40700000.0,56900000.0,0.0,0.0,1.42,1.33,45060000.0,41710000.0,0.0,0.0
1,20,1540,2619,10,11426,11,4478,1259,1774,1782,15714,980,0.7,1.3,63900000.0,37150000.0,0.0,0.0,0.8999999999999999,2.2699999999999996,126228400.0,80540000.0,0.0,0.0,0.31,0.49,49800000.0,61700000.0,0.0,0.0,0.51,1.5,14585100.0,9850000.0,0.0,0.0,1.01,0.05,120000000.0,171000000.0,0.0,0.0,0.08,0.04,12300000.0,7330000.0,0.0,0.0,1.12,2.29,66028700.0,67460000.0,0.0,0.0,1.17,1.4600000000000002,98870000.0,94400000.0,0.0,0.0,0.26,0.11,20920000.0,22612000.0,0.0,0.0,0.61,0.02,64200000.0,81900000.0,0.0,0.0,0.34,0.03,40700000.0,56900000.0,0.0,0.0,1.42,1.33,45060000.0,41710000.0,0.0,0.0
2,21,1774,2203,11,9589,13,3746,1347,1655,1675,13829,982,0.7,1.3,63900000.0,37150000.0,0.0,0.0,0.8999999999999999,2.2699999999999996,126228400.0,80540000.0,0.0,0.0,0.31,0.49,49800000.0,61700000.0,0.0,0.0,0.51,1.5,14585100.0,9850000.0,0.0,0.0,1.01,0.05,120000000.0,171000000.0,0.0,0.0,0.08,0.04,12300000.0,7330000.0,0.0,0.0,1.12,2.29,66028700.0,67460000.0,0.0,0.0,1.17,1.4600000000000002,98870000.0,94400000.0,0.0,0.0,0.26,0.11,20920000.0,22612000.0,0.0,0.0,0.61,0.02,64200000.0,81900000.0,0.0,0.0,0.34,0.03,40700000.0,56900000.0,0.0,0.0,1.42,1.33,45060000.0,41710000.0,0.0,0.0
3,22,1566,2180,11,10793,12,4550,1520,2052,1994,15796,1121,0.7,1.3,63900000.0,37150000.0,0.0,0.0,0.8999999999999999,2.2699999999999996,126228400.0,80540000.0,0.0,0.0,0.31,0.49,49800000.0,61700000.0,0.0,0.0,0.51,1.5,14585100.0,9850000.0,0.0,0.0,1.01,0.05,120000000.0,171000000.0,0.0,0.0,0.08,0.04,12300000.0,7330000.0,0.0,0.0,1.12,2.29,66028700.0,67460000.0,0.0,0.0,1.17,1.4600000000000002,98870000.0,94400000.0,0.0,0.0,0.26,0.11,20920000.0,22612000.0,0.0,0.0,0.61,0.02,64200000.0,81900000.0,0.0,0.0,0.34,0.03,40700000.0,56900000.0,0.0,0.0,1.42,1.33,45060000.0,41710000.0,0.0,0.0
4,20,1338,2871,11,17311,9,5566,1196,1711,1836,19847,996,0.7,1.3,63900000.0,37150000.0,0.0,0.0,0.8999999999999999,2.2699999999999996,126228400.0,80540000.0,0.0,0.0,0.31,0.49,49800000.0,61700000.0,0.0,0.0,0.51,1.5,14585100.0,9850000.0,0.0,0.0,1.01,0.05,120000000.0,171000000.0,0.0,0.0,0.08,0.04,12300000.0,7330000.0,0.0,0.0,1.12,2.29,66028700.0,67460000.0,0.0,0.0,1.17,1.4600000000000002,98870000.0,94400000.0,0.0,0.0,0.26,0.11,20920000.0,22612000.0,0.0,0.0,0.61,0.02,64200000.0,81900000.0,0.0,0.0,0.34,0.03,40700000.0,56900000.0,0.0,0.0,1.42,1.33,45060000.0,41710000.0,0.0,0.0
5,40,1597,3383,60,11807,10,4520,1663,1936,1779,16927,1330,0.7,1.3,63900000.0,37150000.0,0.0,0.0,0.8999999999999999,2.2699999999999996,126228400.0,80540000.0,0.0,0.0,0.31,0.49,49800000.0,61700000.0,0.0,0.0,0.51,1.5,14585100.0,9850000.0,0.0,0.0,1.01,0.05,120000000.0,171000000.0,0.0,0.0,0.08,0.04,12300000.0,7330000.0,0.0,0.0,1.12,2.29,66028700.0,67460000.0,0.0,0.0,1.17,1.4600000000000002,98870000.0,94400000.0,0.0,0.0,0.26,0.11,20920000.0,22612000.0,0.0,0.0,0.61,0.02,64200000.0,81900000.0,0.0,0.0,0.34,0.03,40700000.0,56900000.0,0.0,0.0,1.42,1.33,45060000.0,41710000.0,0.0,0.0
6,18,1424,2015,10,10070,10,4292,1303,1908,1896,14590,943,0.7,1.3,63900000.0,37150000.0,0.0,0.0,0.8999999999999999,2.2699999999999996,126228400.0,80540000.0,0.0,0.0,0.31,0.49,49800000.0,61700000.0,0.0,0.0,0.51,1.5,14585100.0,9850000.0,0.0,0.0,1.01,0.05,120000000.0,171000000.0,0.0,0.0,0.08,0.04,12300000.0,7330000.0,0.0,0.0,1.12,2.29,66028700.0,67460000.0,0.0,0.0,1.17,1.4600000000000002,98870000.0,94400000.0,0.0,0.0,0.26,0.11,20920000.0,22612000.0,0.0,0.0,0.61,0.02,64200000.0,81900000.0,0.0,0.0,0.34,0.03,40700000.0,56900000.0,0.0,0.0,1.42,1.33,45060000.0,41710000.0,0.0,0.0
7,21,1506,2118,11,10322,10,4426,1554,1996,2092,14525,974,0.7,1.3,63900000.0,37150000.0,0.0,0.0,0.8999999999999999,2.2699999999999996,126228400.0,80540000.0,0.0,0.0,0.31,0.49,49800000.0,61700000.0,0.0,0.0,0.51,1.5,14585100.0,9850000.0,0.0,0.0,1.01,0.05,120000000.0,171000000.0,0.0,0.0,0.08,0.04,12300000.0,7330000.0,0.0,0.0,1.12,2.29,66028700.0,67460000.0,0.0,0.0,1.17,1.4600000000000002,98870000.0,94400000.0,0.0,0.0,0.26,0.11,20920000.0,22612000.0,0.0,0.0,0.61,0.02,64200000.0,81900000.0,0.0,0.0,0.34,0.03,40700000.0,56900000.0,0.0,0.0,1.42,1.33,45060000.0,41710000.0,0.0,0.0
8,20,1464,2052,7,10086,9,3783,1174,1787,1633,14253,912,0.7,1.3,63900000.0,37150000.0,0.0,0.0,0.8999999999999999,2.2699999999999996,126228400.0,80540000.0,0.0,0.0,0.31,0.49,49800000.0,61700000.0,0.0,0.0,0.51,1.5,14585100.0,9850000.0,0.0,0.0,1.01,0.05,120000000.0,171000000.0,0.0,0.0,0.08,0.04,12300000.0,7330000.0,0.0,0.0,1.12,2.29,66028700.0,67460000.0,0.0,0.0,1.17,1.4600000000000002,98870000.0,94400000.0,0.0,0.0,0.26,0.11,20920000.0,22612000.0,0.0,0.0,0.61,0.02,64200000.0,81900000.0,0.0,0.0,0.34,0.03,40700000.0,56900000.0,0.0,0.0,1.42,1.33,45060000.0,41710000.0,0.0,0.0
9,23,1873,3846,11,24019,10,5656,1474,1633,1824,38136,990,0.7,1.3,63900000.0,37150000.0,0.0,0.0,0.8999999999999999,2.2699999999999996,126228400.0,80540000.0,0.0,0.0,0.31,0.49,49800000.0,61700000.0,0.0,0.0,0.51,1.5,14585100.0,9850000.0,0.0,0.0,1.01,0.05,120000000.0,171000000.0,0.0,0.0,0.08,0.04,12300000.0,7330000.0,0.0,0.0,1.12,2.29,66028700.0,67460000.0,0.0,0.0,1.17,1.4600000000000002,98870000.0,94400000.0,0.0,0.0,0.26,0.11,20920000.0,22612000.0,0.0,0.0,0.61,0.02,64200000.0,81900000.0,0.0,0.0,0.34,0.03,40700000.0,56900000.0,0.0,0.0,1.42,1.33,45060000.0,41710000.0,0.0,0.0
